epoch,phase,rss_mb_total,n_procs
1784972637,idle,996,1
1784972667,idle,1017,1
1784972697,idle,1036,1
1784972727,idle,1037,1
1784972757,idle,1045,1
1784972787,idle,1046,1
1784972817,idle,1030,1
1784972847,idle,1031,1
1784972877,idle,1041,1
1784972907,idle,1042,1
1784972937,idle,1055,1
1784972968,idle,1082,1
1784972998,idle,1094,1
1784973028,idle,1095,1
1784973058,idle,1104,1
1784973088,idle,1105,1
1784973118,idle,1115,1
1784973148,idle,1116,1
1784973178,idle,1125,1
1784973208,idle,1126,1
1784973238,idle,1122,1
1784973269,idle,1123,1
1784973299,idle,1139,1
1784973329,idle,1150,1
1784973359,idle,1178,1
1784973389,idle,1179,1
1784973419,idle,1190,1
1784973449,idle,1141,1
1784973479,idle,1166,1
1784973509,idle,1167,1
1784973539,idle,1181,1
1784973569,idle,1202,1
1784973600,idle,1207,1
1784973630,idle,1414,1
1784973660,idle,1437,1
1784973690,idle,1438,1
1784973720,idle,1442,1
1784973750,idle,1443,1
1784973780,idle,1455,1
1784973810,idle,1456,1
1784973840,idle,1460,1
1784973870,idle,1461,1
1784973900,idle,1470,1
1784973931,idle,1470,1
1784973961,idle,1478,1
1784973991,idle,1479,1
1784974021,idle,1487,1
1784974051,idle,1426,1
1784974081,idle,1449,1
1784974111,idle,1450,1
1784974141,idle,1514,1
1784974171,idle,1173,1
1784974202,idle,1190,1
1784974232,idle,1152,1
1784974262,idle,1163,1
1784974293,idle,1188,1
1784974323,idle,1193,1
1784974353,idle,1195,1
1784974383,idle,1196,1
1784974413,idle,1209,1
1784974444,idle,1239,1
1784974474,idle,1240,1
1784974504,idle,1242,1
1784974534,idle,1253,1
1784974564,idle,1231,1
1784974595,idle,1270,1
1784974626,idle,1284,1
1784974657,idle,1279,1
1784974687,idle,1295,1
1784974717,idle,1308,1
1784974747,idle,1321,1
1784974777,idle,1322,1
1784974808,idle,1330,1
1784974839,idle,1346,1
1784974869,idle,1347,1
1784974900,idle,1362,1
1784974930,idle,1373,1
1784974961,idle,1381,1
1784974991,idle,1402,1
1784975022,idle,1403,1
1784975052,idle,1409,1
1784975082,idle,1411,1
1784975112,idle,1411,1
1784975143,idle,1427,1
1784975174,idle,1427,1
1784975204,idle,1435,1
1784975235,idle,1436,1
1784975266,idle,1445,1
1784975296,idle,1446,1
1784975327,idle,1454,1
1784975357,idle,1454,1
1784975389,idle,1463,1
1784975419,idle,1463,1
1784975450,idle,1472,1
1784975481,idle,1472,1
1784975511,idle,1481,1
1784975542,idle,1481,1
1784975572,idle,1493,1
1784975602,idle,1493,1
1784975633,idle,1502,1
1784975663,load,1516,1
1784975693,load,1537,1
1784975723,load,1545,1
1784975753,load,1344,1
1784975783,load,1355,1
1784975813,load,1366,1
1784975843,load,1371,1
1784975874,load,1379,1
1784975904,load,1450,1
1784975934,load,1462,1
1784975964,load,1474,1
1784975994,load,1331,1
1784976024,load,1317,1
1784976054,load,1307,1
1784976084,load,1308,1
1784976114,load,1310,1
1784976144,load,1310,1
1784976174,load,1318,1
1784976204,load,1324,1
1784976234,load,1333,1
1784976264,load,1333,1
1784976294,load,1341,1
1784976324,load,1341,1
1784976354,load,1349,1
1784976384,load,1350,1
1784976414,load,1357,1
1784976444,load,1357,1
1784976474,load,1365,1
1784976505,load,1365,1
1784976535,load,1373,1
1784976565,load,1194,1
1784976595,load,1202,1
1784976625,load,1202,1
1784976655,load,1210,1
1784976685,load,1210,1
1784976715,load,1218,1
1784976745,load,1240,1
1784976775,load,1249,1
1784976805,load,1249,1
1784976835,load,1262,1
1784976865,load,1002,1
1784976895,load,1025,1
1784976925,load,1028,1
1784976955,load,1040,1
1784976985,load,1041,1
1784977015,load,1060,1
1784977045,load,1070,1
1784977076,load,1085,1
1784977106,load,1086,1
1784977136,load,1097,1
1784977166,load,1102,1
1784977196,load,1114,1
1784977226,load,1109,1
1784977256,load,1117,1
1784977286,load,1124,1
1784977316,load,1132,1
1784977346,load,1133,1
1784977376,load,1085,1
1784977406,load,1094,1
1784977436,load,1116,1
1784977466,load,1116,1
1784977496,load,1125,1
1784977526,load,1125,1
1784977556,load,1140,1
1784977586,load,1141,1
1784977616,load,1149,1
1784977646,load,1150,1
1784977676,load,1140,1
1784977706,load,1145,1
1784977737,load,1157,1
1784977767,load,1158,1
1784977797,load,1166,1
1784977827,load,1160,1
1784977857,load,1193,1
1784977887,load,1164,1
1784977917,load,1174,1
1784977947,load,1179,1
1784977977,load,1079,1
1784978007,load,1094,1
1784978037,load,1089,1
1784978067,load,1098,1
1784978097,load,1098,1
1784978127,load,1106,1
1784978157,load,1106,1
1784978187,load,1114,1
1784978217,load,1122,1
1784978247,load,1130,1
1784978277,load,1130,1
1784978307,load,1138,1
1784978337,load,1106,1
1784978368,load,1113,1
1784978398,load,1114,1
1784978428,load,1121,1
1784978458,load,1122,1
1784978488,load,1132,1
1784978518,load,1133,1
1784978548,load,1141,1
