epoch,phase,rss_mb_total,n_procs
1784399834,idle,875,1
1784399864,idle,802,1
1784399894,idle,760,1
1784399926,idle,783,1
1784399956,idle,797,1
1784399986,idle,797,1
1784400016,idle,799,1
1784400046,idle,799,1
1784400076,idle,805,1
1784400106,idle,806,1
1784400136,idle,807,1
1784400166,idle,808,1
1784400197,idle,785,1
1784400227,idle,807,1
1784400257,idle,808,1
1784400288,idle,818,1
1784400318,idle,819,1
1784400348,idle,800,1
1784400378,idle,801,1
1784400408,idle,822,1
1784400438,idle,844,1
1784400469,idle,849,1
1784400499,idle,850,1
1784400529,idle,849,1
1784400559,idle,833,1
1784400589,idle,846,1
1784400619,idle,858,1
1784400650,idle,824,1
1784400680,idle,824,1
1784400710,idle,837,1
1784400740,idle,838,1
1784400770,idle,839,1
1784400800,idle,840,1
1784400831,idle,843,1
1784400861,idle,844,1
1784400891,idle,845,1
1784400921,idle,845,1
1784400951,idle,848,1
1784400981,idle,832,1
1784401011,idle,871,1
1784401041,idle,872,1
1784401071,idle,873,1
1784401102,idle,836,1
1784401132,idle,856,1
1784401162,idle,875,1
1784401192,idle,876,1
1784401223,idle,851,1
1784401253,idle,866,1
1784401283,idle,867,1
1784401313,idle,870,1
1784401343,idle,876,1
1784401373,idle,713,1
1784401403,idle,739,1
1784401434,idle,757,1
1784401464,idle,758,1
1784401494,idle,762,1
1784401524,idle,768,1
1784401554,idle,769,1
1784401584,idle,770,1
1784401615,idle,772,1
1784401645,idle,774,1
1784401675,idle,775,1
1784401705,idle,776,1
1784401735,idle,777,1
1784401765,idle,779,1
1784401795,idle,779,1
1784401825,idle,780,1
1784401856,idle,783,1
1784401886,idle,784,1
1784401916,idle,786,1
1784401946,idle,787,1
1784401977,idle,788,1
1784402007,idle,790,1
1784402037,idle,791,1
1784402067,idle,792,1
1784402097,idle,792,1
1784402127,idle,794,1
1784402157,idle,795,1
1784402187,idle,797,1
1784402217,idle,798,1
1784402247,idle,799,1
1784402277,idle,800,1
1784402307,idle,802,1
1784402338,idle,778,1
1784402368,idle,796,1
1784402398,idle,803,1
1784402428,idle,805,1
1784402458,idle,806,1
1784402488,idle,814,1
1784402518,idle,815,1
1784402548,idle,817,1
1784402578,idle,837,1
1784402608,idle,838,1
1784402639,idle,839,1
1784402669,idle,840,1
1784402699,idle,842,1
1784402729,idle,843,1
1784402759,idle,844,1
1784402789,idle,813,1
1784402819,idle,828,1
1784402849,load,828,1
1784402879,load,838,1
1784402909,load,839,1
1784402940,load,841,1
1784402970,load,842,1
1784403000,load,842,1
1784403030,load,842,1
1784403060,load,810,1
1784403090,load,810,1
1784403120,load,811,1
1784403150,load,813,1
1784403180,load,814,1
1784403210,load,802,1
1784403240,load,814,1
1784403270,load,815,1
1784403300,load,819,1
1784403330,load,820,1
1784403360,load,821,1
1784403390,load,819,1
1784403421,load,820,1
1784403451,load,826,1
1784403481,load,827,1
1784403511,load,828,1
1784403541,load,822,1
1784403571,load,842,1
1784403601,load,843,1
1784403631,load,846,1
1784403661,load,847,1
1784403691,load,849,1
1784403721,load,827,1
1784403751,load,848,1
1784403781,load,849,1
1784403811,load,851,1
1784403841,load,852,1
1784403871,load,853,1
1784403901,load,854,1
1784403932,load,855,1
1784403962,load,840,1
1784403992,load,840,1
1784404022,load,840,1
1784404052,load,841,1
1784404082,load,842,1
1784404112,load,843,1
1784404142,load,844,1
1784404172,load,845,1
1784404202,load,847,1
1784404232,load,852,1
1784404262,load,852,1
1784404292,load,853,1
1784404322,load,854,1
1784404352,load,854,1
1784404382,load,851,1
1784404412,load,852,1
1784404442,load,854,1
1784404472,load,855,1
1784404503,load,856,1
1784404533,load,857,1
1784404563,load,856,1
1784404593,load,857,1
1784404623,load,858,1
1784404653,load,859,1
1784404683,load,860,1
1784404713,load,861,1
1784404743,load,862,1
1784404773,load,863,1
1784404803,load,864,1
1784404833,load,865,1
1784404863,load,872,1
1784404893,load,872,1
1784404923,load,851,1
1784404953,load,872,1
1784404983,load,872,1
1784405013,load,874,1
1784405043,load,874,1
1784405073,load,879,1
1784405103,load,879,1
1784405133,load,879,1
1784405164,load,881,1
1784405194,load,884,1
1784405224,load,885,1
1784405254,load,886,1
1784405284,load,887,1
1784405314,load,889,1
1784405344,load,890,1
1784405374,load,890,1
1784405404,load,891,1
1784405434,load,891,1
1784405464,load,906,1
1784405494,load,882,1
1784405524,load,883,1
1784405554,load,885,1
1784405584,load,1174,1
1784405614,load,1188,1
1784405644,load,1189,1
1784405674,load,1196,1
1784405704,load,1201,1
1784405734,load,1207,1
1784405764,load,1208,1
1784405794,load,1219,1
1784405825,load,1227,1
1784405855,load,1229,1
1784405885,load,1230,1
1784405915,load,1231,1
1784405945,load,1242,1
1784405975,load,1243,1
1784406005,load,1244,1
1784406035,load,1246,1
1784406065,load,1246,1
1784406095,load,1258,1
1784406125,load,1259,1
1784406155,load,1262,1
1784406185,load,1263,1
1784406215,load,1263,1
1784406245,load,1264,1
1784406275,load,1264,1
1784406305,load,1267,1
1784406335,load,1278,1
1784406365,load,1278,1
1784406395,load,1278,1
1784406425,load,1279,1
1784406455,load,1279,1
1784406486,load,1290,1
1784406516,load,1291,1
1784406546,load,1292,1
1784406576,load,1293,1
1784406606,load,1294,1
1784406636,load,1300,1
1784406666,load,1301,1
1784406696,load,1302,1
1784406726,load,1313,1
1784406756,load,1314,1
1784406786,load,1316,1
1784406816,load,1322,1
1784406846,load,1323,1
1784406876,load,1324,1
1784406906,load,1325,1
1784406936,load,1325,1
1784406966,load,1325,1
1784406996,load,1332,1
1784407026,load,1332,1
1784407056,load,1332,1
1784407086,load,1332,1
1784407116,load,1333,1
1784407147,load,1366,1
1784407177,load,1367,1
1784407207,load,1368,1
1784407237,load,1384,1
1784407267,load,1384,1
1784407297,load,1391,1
1784407327,load,1392,1
1784407357,load,1393,1
1784407387,load,1393,1
1784407417,load,1394,1
1784407447,load,1394,1
1784407477,load,1395,1
1784407507,load,1395,1
1784407537,load,1395,1
1784407567,load,1395,1
1784407597,load,1395,1
1784407627,load,1396,1
1784407657,load,1397,1
1784407687,load,1398,1
1784407717,load,1399,1
1784407747,load,1400,1
1784407778,load,1401,1
1784407808,load,1402,1
1784407838,load,1403,1
1784407868,load,1404,1
1784407898,load,1404,1
1784407928,load,1405,1
1784407958,load,1405,1
1784407988,load,1406,1
1784408018,load,1407,1
1784408048,load,1407,1
1784408078,load,1407,1
1784408108,load,1408,1
1784408138,load,1409,1
1784408168,load,1410,1
1784408198,load,1410,1
1784408228,load,1411,1
1784408258,load,1411,1
1784408288,load,1412,1
1784408318,load,1414,1
1784408348,load,1424,1
1784408378,load,1425,1
1784408408,load,1426,1
1784408439,load,1427,1
1784408469,load,1428,1
1784408499,load,1428,1
1784408529,load,1430,1
1784408559,load,1431,1
1784408589,load,1433,1
1784408619,load,1434,1
1784408649,load,1435,1
1784408679,load,1437,1
1784408709,load,1438,1
1784408739,load,1438,1
1784408769,load,1439,1
1784408799,load,1439,1
1784408829,load,1440,1
1784408859,load,1441,1
1784408889,load,1442,1
1784408919,load,1443,1
1784408949,load,1443,1
1784408979,load,1445,1
1784409009,load,1445,1
1784409039,load,1445,1
1784409069,load,1446,1
1784409100,load,1452,1
1784409130,load,1453,1
1784409160,load,1454,1
1784409190,load,1455,1
1784409220,load,1456,1
1784409250,load,1456,1
1784409280,load,1458,1
1784409310,load,1459,1
1784409340,load,1459,1
1784409370,load,1460,1
1784409400,load,1460,1
1784409430,load,1461,1
1784409460,load,1461,1
1784409490,load,1462,1
1784409520,load,1463,1
1784409550,load,1464,1
1784409580,load,1477,1
1784409610,load,1483,1
1784409640,load,1486,1
1784409670,load,1487,1
1784409700,load,1488,1
1784409730,load,1489,1
1784409760,load,1495,1
1784409790,load,1495,1
1784409821,load,1496,1
1784409851,load,1497,1
1784409881,load,1497,1
1784409911,load,1498,1
1784409941,load,1499,1
1784409971,load,1500,1
1784410001,load,1501,1
1784410031,load,1501,1
1784410061,load,1502,1
1784410091,load,1503,1
1784410121,load,1504,1
1784410151,load,1505,1
1784410181,load,1506,1
1784410211,load,1506,1
1784410241,load,1507,1
1784410271,load,1507,1
1784410301,load,1507,1
1784410331,load,1509,1
1784410361,load,1509,1
1784410391,load,1515,1
1784410421,load,1516,1
1784410452,load,1517,1
1784410482,load,1517,1
1784410512,load,1517,1
1784410542,load,1518,1
1784410572,load,1518,1
1784410602,load,1518,1
1784410632,load,1516,1
1784410662,load,1520,1
1784410692,load,1521,1
1784410722,load,1522,1
1784410752,load,1523,1
1784410782,load,1524,1
1784410812,load,1524,1
1784410842,load,1524,1
1784410872,load,1524,1
1784410902,load,1525,1
1784410932,load,1526,1
1784410962,load,1526,1
1784410992,load,1527,1
1784411022,load,1529,1
1784411052,load,1529,1
1784411082,load,1529,1
1784411113,load,1529,1
1784411143,load,1530,1
1784411173,load,1531,1
1784411203,load,1532,1
1784411233,load,1533,1
1784411263,load,1534,1
1784411293,load,1535,1
1784411323,load,1535,1
1784411353,load,1536,1
1784411383,load,1536,1
1784411413,load,1537,1
1784411443,load,1538,1
1784411473,load,1539,1
1784411503,load,1540,1
1784411533,load,1541,1
1784411563,load,1542,1
1784411593,load,1543,1
1784411623,load,1543,1
1784411653,load,1544,1
1784411683,load,1544,1
1784411713,load,1545,1
1784411743,load,1545,1
1784411774,load,1545,1
1784411804,load,1546,1
1784411834,load,1551,1
1784411864,load,1552,1
1784411894,load,1553,1
1784411924,load,1554,1
1784411954,load,1554,1
1784411984,load,1555,1
1784412014,load,1556,1
1784412044,load,1556,1
1784412074,load,1557,1
1784412104,load,1558,1
1784412134,load,1560,1
1784412164,load,1561,1
1784412194,load,1562,1
1784412224,load,1563,1
1784412254,load,1563,1
1784412284,load,1564,1
1784412314,load,1563,1
1784412344,load,1575,1
1784412374,load,1575,1
1784412405,load,1576,1
1784412435,load,1577,1
1784412465,load,1578,1
1784412495,load,1579,1
1784412525,load,1579,1
1784412555,load,1579,1
1784412585,load,1580,1
1784412615,load,1580,1
1784412645,load,1580,1
1784412675,load,1581,1
1784412705,load,1582,1
1784412735,load,1583,1
1784412765,load,1584,1
1784412795,load,1584,1
1784412825,load,1585,1
1784412855,load,1586,1
1784412885,load,1586,1
1784412915,load,1586,1
1784412945,load,1587,1
1784412975,load,1587,1
1784413005,load,1588,1
1784413035,load,1589,1
1784413066,load,1590,1
1784413096,load,1590,1
1784413126,load,1590,1
1784413156,load,1596,1
1784413186,load,1596,1
1784413216,load,1596,1
1784413246,load,1597,1
1784413276,load,1598,1
1784413306,load,1599,1
1784413336,load,1600,1
1784413366,load,1601,1
1784413396,load,1602,1
1784413426,load,1603,1
1784413456,load,1603,1
1784413486,load,1604,1
1784413516,load,1604,1
1784413546,load,1605,1
1784413576,load,1606,1
1784413606,load,1607,1
1784413636,load,1608,1
1784413666,load,1609,1
1784413697,load,1610,1
1784413727,load,1611,1
1784413757,load,1611,1
1784413787,load,1612,1
