epoch,phase,rss_mb_total,n_procs
1784053238,idle,0,0
1784053268,idle,0,0
1784053298,idle,0,0
1784053328,idle,0,0
1784053358,idle,0,0
1784053388,idle,0,0
1784053418,idle,0,0
1784053449,idle,0,0
1784053479,idle,0,0
1784053509,idle,0,0
1784053539,idle,0,0
1784053569,idle,0,0
1784053599,idle,0,0
1784053629,idle,0,0
1784053659,idle,0,0
1784054587,idle,0,0
1784054658,idle,0,0
1784054688,idle,0,0
1784054718,idle,0,0
1784054748,idle,0,0
1784054778,idle,0,0
1784054808,idle,0,0
1784054838,idle,0,0
1784054868,idle,0,0
1784054898,idle,0,0
1784054929,idle,0,0
1784054959,idle,2,1
1784054989,idle,0,0
1784055019,idle,0,0
1784055049,idle,0,0
1784055079,idle,0,0
1784055109,idle,0,0
1784055139,idle,0,0
1784055169,idle,0,0
1784055199,idle,0,0
1784055229,idle,0,0
1784055259,idle,0,0
1784055289,idle,0,0
1784055319,idle,0,0
1784055349,idle,0,0
1784055379,idle,0,0
1784055409,idle,0,0
1784055439,idle,0,0
1784055469,idle,0,0
1784055499,idle,0,0
1784055529,idle,0,0
1784055559,idle,0,0
1784055589,idle,0,0
1784055619,idle,0,0
1784055649,idle,0,0
1784055680,idle,0,0
1784055710,idle,0,0
1784055740,idle,0,0
1784055770,idle,0,0
1784055800,idle,0,0
1784055830,idle,0,0
1784055860,idle,0,0
1784055890,idle,0,0
1784055920,idle,0,0
1784055950,idle,0,0
1784055980,idle,0,0
1784056010,idle,0,0
1784056040,idle,0,0
1784056070,idle,0,0
1784056100,idle,0,0
1784056130,idle,0,0
1784056160,idle,0,0
1784056190,idle,0,0
1784056220,idle,0,0
1784056250,idle,0,0
1784056280,idle,0,0
1784056310,idle,0,0
1784056340,idle,0,0
1784056370,idle,0,0
1784056400,idle,0,0
1784056430,idle,0,0
1784056970,idle,0,0
1784057000,idle,0,0
1784057030,idle,0,0
1784057060,idle,0,0
1784057090,idle,0,0
1784057120,idle,0,0
1784057150,idle,0,0
