epoch,phase,rss_mb_total,n_procs
1784088711,idle,919,1
1784088742,idle,983,1
1784088772,idle,988,1
1784088802,idle,945,1
1784088832,idle,957,1
1784088862,idle,971,1
1784088892,idle,972,1
1784088923,idle,959,1
1784088953,idle,960,1
1784088983,idle,971,1
1784089013,idle,972,1
1784089043,idle,976,1
1784089073,idle,979,1
1784089104,idle,986,1
1784089134,idle,990,1
1784089164,idle,972,1
1784089194,idle,973,1
1784089224,idle,979,1
1784089254,idle,979,1
1784089284,idle,980,1
1784089314,idle,982,1
1784089344,idle,997,1
1784089374,idle,998,1
1784089404,idle,988,1
1784089434,idle,989,1
1784089464,idle,995,1
1784089494,idle,1001,1
1784089525,idle,1015,1
1784089555,idle,1016,1
1784089585,idle,1016,1
1784089615,idle,1017,1
1784089645,idle,1016,1
1784089675,idle,1017,1
1784089705,idle,1010,1
1784089735,idle,1016,1
1784089765,idle,1023,1
1784089796,idle,1023,1
1784089826,idle,1002,1
1784089856,idle,1004,1
1784089886,idle,1014,1
1784089916,idle,1013,1
1784089946,idle,1014,1
1784089976,idle,1015,1
1784090006,idle,1016,1
1784090037,idle,1017,1
1784090067,idle,1019,1
1784090097,idle,1020,1
1784090127,idle,1022,1
1784090157,idle,1023,1
1784090187,idle,1031,1
1784090217,idle,1032,1
1784090247,idle,1034,1
1784090278,idle,1035,1
1784090308,idle,1041,1
1784090338,idle,1042,1
1784090368,idle,1049,1
1784090398,idle,1049,1
1784090428,idle,1055,1
1784090458,idle,1057,1
1784090488,idle,1032,1
1784090518,idle,1039,1
1784090548,idle,1043,1
1784090579,idle,1046,1
1784090609,idle,1047,1
1784090639,idle,1048,1
1784090669,idle,1049,1
1784090699,idle,1050,1
1784090729,idle,1056,1
1784090759,idle,1059,1
1784090789,idle,1046,1
1784090819,idle,1057,1
1784090850,idle,1058,1
1784090880,idle,1065,1
1784090910,idle,1066,1
1784090940,idle,1067,1
1784090970,idle,1072,1
1784091001,idle,1073,1
1784091031,idle,1074,1
1784091061,idle,1075,1
1784091091,idle,1076,1
1784091121,idle,1078,1
1784091151,idle,1079,1
1784091181,idle,1081,1
1784091211,idle,1082,1
1784091241,idle,1084,1
1784091271,idle,1085,1
1784091302,idle,1086,1
1784091332,idle,1087,1
1784091362,idle,1090,1
1784091392,idle,1091,1
1784091422,idle,1092,1
1784091452,idle,1093,1
1784091483,idle,1092,1
1784091513,idle,1110,1
1784091543,idle,1111,1
1784091573,idle,1112,1
1784091603,idle,1117,1
1784091633,idle,1118,1
1784091664,idle,1112,1
1784091694,idle,1113,1
1784091724,load,1120,1
1784091754,load,1120,1
1784091784,load,1126,1
1784091814,load,1150,1
1784091844,load,1136,1
1784091874,load,1136,1
1784091905,load,1141,1
1784091935,load,1107,1
1784091965,load,1114,1
1784091995,load,1115,1
1784092025,load,1115,1
1784092055,load,1116,1
1784092085,load,1120,1
1784092115,load,1121,1
1784092145,load,1121,1
1784092175,load,1127,1
1784092205,load,1127,1
1784092235,load,1127,1
1784092265,load,1128,1
1784092295,load,1130,1
1784092325,load,1130,1
1784092355,load,1131,1
1784092385,load,1133,1
1784092415,load,1134,1
1784092445,load,1134,1
1784092475,load,1134,1
1784092505,load,1136,1
1784092535,load,1138,1
1784092566,load,1138,1
1784092596,load,1139,1
1784092626,load,1139,1
1784092656,load,1142,1
1784092686,load,1143,1
1784092716,load,1144,1
1784092746,load,1145,1
1784092776,load,1146,1
1784092806,load,1146,1
1784092836,load,1155,1
1784092866,load,1155,1
1784092896,load,1155,1
1784092926,load,1156,1
1784092956,load,1156,1
1784092986,load,1157,1
1784093016,load,1158,1
1784093046,load,1159,1
1784093076,load,1161,1
1784093106,load,1161,1
1784093136,load,1161,1
1784093166,load,1147,1
1784093196,load,1156,1
1784093226,load,1167,1
1784093257,load,1168,1
1784093287,load,1174,1
1784093317,load,1174,1
1784093347,load,1180,1
1784093377,load,1181,1
1784093407,load,1186,1
1784093437,load,1145,1
1784093467,load,1171,1
1784093497,load,1172,1
1784093527,load,1178,1
1784093557,load,1179,1
1784093587,load,1185,1
1784093617,load,1186,1
1784093647,load,1193,1
1784093677,load,1194,1
1784093707,load,1177,1
1784093737,load,1177,1
1784093767,load,1178,1
1784093797,load,1183,1
1784093827,load,1184,1
1784093857,load,1191,1
1784093887,load,1191,1
1784093918,load,1196,1
1784093948,load,1196,1
1784093978,load,1201,1
1784094008,load,1201,1
1784094038,load,1164,1
1784094068,load,1174,1
1784094098,load,1185,1
1784094128,load,1186,1
1784094158,load,1191,1
1784094188,load,1192,1
1784094218,load,1199,1
1784094248,load,1199,1
1784094278,load,1204,1
1784094308,load,1204,1
1784094338,load,1188,1
1784094368,load,1190,1
1784094398,load,1196,1
1784094428,load,1197,1
1784094458,load,1203,1
1784094488,load,1203,1
1784094518,load,1209,1
1784094548,load,1210,1
1784094578,load,1211,1
1784094609,load,1211,1
1784094639,load,1217,1
1784094669,load,1233,1
1784094699,load,1193,1
1784094729,load,1193,1
