epoch,phase,rss_mb_total,n_procs
1784970659,idle,1084,1
1784970689,idle,1085,1
1784970719,idle,1104,1
1784970749,idle,1106,1
1784970779,idle,1114,1
1784970809,idle,1115,1
1784970839,idle,1130,1
1784970869,idle,1071,1
1784970899,idle,1096,1
1784970929,idle,1097,1
1784970960,idle,1138,1
1784970990,idle,1138,1
1784971020,idle,1149,1
1784971050,idle,1151,1
1784971080,idle,1160,1
1784971110,idle,1161,1
1784971141,idle,1170,1
1784971171,idle,1171,1
1784971201,idle,1180,1
1784971231,idle,1205,1
1784971261,idle,1151,1
1784971291,idle,1152,1
1784971321,idle,1182,1
1784971351,idle,1183,1
1784971381,idle,1210,1
1784971411,idle,1210,1
1784971441,idle,1222,1
1784971472,idle,1230,1
1784971502,idle,1174,1
1784971532,idle,1187,1
1784971562,idle,1213,1
1784971593,idle,1233,1
1784971623,idle,1230,1
1784971653,idle,1231,1
1784971683,idle,1234,1
1784971713,idle,1235,1
1784971743,idle,1243,1
1784971773,idle,1244,1
1784971803,idle,1253,1
1784971833,idle,1264,1
1784971863,idle,1218,1
1784971894,idle,1219,1
1784971924,idle,1243,1
1784971954,idle,1244,1
1784971984,idle,1249,1
1784972014,idle,1250,1
1784972044,idle,1263,1
1784972074,idle,1264,1
1784972104,idle,1269,1
1784972134,idle,1324,1
1784972164,idle,1347,1
1784972195,idle,1159,1
1784972225,idle,1137,1
1784972255,idle,1148,1
